OBJECT_ID	SA2022	Factor
B16151	A027060001	0.9884
B15832	A027060003	0.9932
B16150	A027060002	0.9691
B07291	A027061003	1.1431
B07292	A027061004	0.9972
B06376	A027061002	0.9408
B06377	A027061001	0.9838
B16115	A027062001	0.9742
B06349	A027063001	1.3506
B07302	A027063004	1.0413
B06348	A027063002	1.0223
B06351	A027063009	1.0067
B06347	A027063006	1.0051
B06375	A027063005	1.0041
B06374	A027063008	0.9909
B06373	A027063011	0.9256
B06346	A027063007	0.9964
B06350	A027063010	0.9924
B06352	A027063003	0.9899
B15785	A027064001	1.0054
B18194	A027064002	0.944
B16158	A027065002	1.0003
B16157	A027065001	0.9278
B15856	A027066002	1.016
B16156	A027066001	0.9736
B18156	A027067002	1.021
B18179	A027067001	1.0109
B16120	A027068001	0.9559
B18224	A027069002	0.9981
B18223	A027069001	1.0282
B15815	A027070003	1.0121
B15817	A027070001	0.9548
B15816	A027070002	0.9402
B16119	A027071001	1.0371
B16118	A027071002	1.0189
B11488	A027072006	1.0422
B11487	A027072005	1.0275
B11550	A027072001	0.9729
B11552	A027072007	0.9732
B11549	A027072002	0.9495
B11553	A027072003	0.9609
B11551	A027072004	0.9415
B10310	A027073006	1.1805
B10309	A027073001	1.0329
B10308	A027073004	1.0423
B10337	A027073007	1.0348
B10311	A027073005	1.0179
B10336	A027073003	0.9391
B10335	A027073002	0.9157
B15813	A027074004	0.9473
B15711	A027074002	0.9445
B15812	A027074003	0.9095
B15712	A027074001	0.9398
B17588	A027075001/027088001	1.1897
B16049	A027076002	1.0386
B16048	A027076001	1.0038
B15701	A027077001	0.9856
B17128	A027077002	1.0295
B10546	A027078003	0.9907
B10444	A027078001	1.0029
B10415	A027078002	0.9375
B14340	A027079004/027079002	1.036
B14341	A027079005/027079003	0.9392
B14477	A027079001	0.9884
B14475	A027079002	0.9984
B14476	A027079003/027079005	0.9986
B15759	A027080002	1.0013
B15758	A027080001	0.955
B16140	A027081001	1.0339
B16155	A027082003	0.9588
B15855	A027082001	0.9744
B15833	A027082002	0.9313
B14958	A027083003	1.147
B14490	A027083001/027083002	0.9849
B18157	A027084001	1.0332
B18158	A027084002	0.9865
B15949	A027086001	1.314
B17084	A027086002	1.011
B15818	A027087001	0.9927
B16154	A027087002	0.9681
B14884	A027089003/027089002	0.9925
B14491	A027089001	0.9912
B15591	A027090002	0.9764
B15592	A027090001	0.9801
B17590	A027091001	0.9401
B14666	A027092002/02	1.2482
B14667	A027092002/01	0.998
B14672	A027092003	0.9717
B18866	A027092014	1.0017
B14702	A027092011	0.9713
B14664	A027092006	0.9411
B14662	A027092016	0.9367
B14663	A027092017	0.9263
B14661	A027092009	0.9252
B14671	A027092005	0.9664
B14669	A027092001	0.9664
B14987	A027092015	0.9661
B14668	A027092004	0.9626
B14665	A027092010	0.9564
B14674	A027092012	0.9484
B14670	A027092008	0.9463
B18865	A027092013	0.945
B14673	A027092007	0.9423
B16153	A027093002	0.9964
B15853	A027093001	0.9753
B15854	A027093003	0.9791
B17284	A037001002	0.8464
B18078	A037001001	0.8434
B17946	A037002001	0.91
B17650	A037002002	0.8946
B17363	A037002003	0.8539
B08597	A037003001/02	0.9217
B08564	A037003001/01	0.8286
B17919	A037004001	0.8338
B17201	A037005001	0.8496
B04981	A037007003	0.9365
B05084	A037007002	0.868
B05085	A037007001	0.8269
B17493	A037008001/037067001	0.8285
B17752	A037010001	0.8674
B17661	A037011001	0.8536
B15262	A037012001	0.8729
B15261	A037012002/037012003	0.8237
B17364	A037013001	0.8624
B17365	A037013002/037013003	0.8342
B17206	A037014001	0.8386
B17494	A037015001	0.8122
